Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
42:5342 minutes, 53 sec      many reforms have been successfully implemented but not all of it and and there are some structural challenges as a country that you continue to face and that you need to continue to do your
43:0143 minutes, 1 secondbest tole but I mean I had a meeting with minister earlier today and he was very happy to report on some of
43:1843 minutes, 18 sec      Jā, paldies. Manuprāt, šis arī būs tas gadījums, kad mums tomēr ir jāpaskatās, kur virkne no OECD rekomendācijām tomēr
43:2743 minutes, 27 sec      ir izpildīts. Un īpaši, es gribētu izteikt nodokļu politikā. Tātad darbaspēka sloga mazināšana, tā bija
43:3543 minutes, 35 sec      viena no galvenajām OECD rekomendācijām divi gadi atpakaļ. Un tā bija top prioritāte, pieņemot 24. gadā, 25. gada
43:4243 minutes, 42 sec      valsts budžetu, kas bija tiešā saistībā ar OECD rekomendācijām, kurām bija, tika veltīta arī absolūti lielākā investīciju
43:4943 minutes, 49 sec      daļa, kas arī parāda arī šajā OECD pētījumā parāda pozitīvo ietekmi no šī rezultāta. Un tātad tas pal, tas
43:5743 minutes, 57 sec      sasniedz tieši tos rādītājus, ko es biju teicis, kā tas būs. Tas palielināja iedzīvotāju pirksspēju, tas palielināja
44:0444 minutes, 4 sec      iekšējo patēriņu, un tas uzlaboja, būtiski uzlaboja tieši šo te balansu starp nodokļu slogu tieši uz mazajām
44:1144 minutes, 11 sec      algām. Un tas gāja roku rokā ar visu Latvijas biznesa vidi, kur kopā mēs šo rekomendāciju izpildījām. Tāpat arī rekomendācijas bankas sektora
44:2044 minutes, 20 sec      uzlabošanā. Ne velti minēju, 10 gadu stagnācija banku sektorā tika
44:2744 minutes, 27 sec      izrauta ārā ne jau pati no sevis. Tās bija vairākas, vairākas lietas, ko mēs ieviesām. Tai skaitā šī transformācija
44:3644 minutes, 36 sec      no vienas bankas, lai uz otru iet. Tā bija OECD rekomendācija privātpersonām, ko izmanto vairāk kā
44:4344 minutes, 43 sec      10.000 tū Latvijas iedzīvotāji, banku klienti, kā rezultātā un arī citu reformu rezultātā mēs panācām to, kad
44:5144 minutes, 51 sec      Latvijas ekonomikā pagājušajā gadā ienāca ekstra 1,8 miljardi eiro, kas
44:5844 minutes, 58 sec      Latvijas ekonomikai ir milzīga nauda, kas nāca no finanšu sektora Latvijas ekonomikā. Tā ir, tā bija 10 gadu
45:0545 minutes, 5 sec      stagnācija, kas beidzās. Tāpat arī valsts pārvaldē dažādas reformas, kas ir veiktas tieši būvniecības jomā,
45:1345 minutes, 13 sec      būvniecības procesa uzlabošanā, tās arī ir OECD rekomendācijas, kuras mums norāda iepriekšējos ziņojumos, kur
45:2045 minutes, 20 sec      ieviešanai, jā, es atzīstu, ilgs laiks, tas bija vairāk kā gads nepieciešams, lai izmainītu vairāk kā 60 regulējumus.
45:2745 minutes, 27 sec      Mēs šodien, mēs esam starp visām valstīm otrajā vietā pēc ātruma. Otrā vieta, kolēģi, mēs negribu atgādināt, kur mēs
45:3545 minutes, 35 sec      bijām pirms šīm rekomendācijām, un šobrīd visi tie krāni, kas te ir ārā, kurus mēs varam apskatīties, kur tiek
45:4245 minutes, 42 sec      būvēts un celts dažādi, tas jau ir šo reformu un šo rekomendāciju rezultātā.
45:4945 minutes, 49 sec      Un arī patstāvīgais spiediens par kapitāltirgus attīstību, kas nāk arī no ECD, rādot šo iespēju mums vairāk iegūt
45:5945 minutes, 59 sec      ekonomikā naudu, izmantojot šīs iespējas. Tas arī šobrīd ir rezultējies pirmajā valsts kapitālsabiedrībā, kas ir
46:0646 minutes, 6 sec      palaista uz IPO. Tas notika zīmīgi vakardien, ja, bet, bet tai pat laikā mēs redzam to, ka šis, šīs politikas
46:1546 minutes, 15 sec      turpināšana caur šiem pirmajiem labiem piemēriem, tālāk to attīstot, var arī būtiski mainīt arī dažādi arī mūsu
46:2246 minutes, 22 sec      kapitāla izmantošanas paradigmas, kur mēs šobrīd redzam, mēs vēl ļoti, ļoti, mums ir kur uzlabot, ja, un mums šis virziens vienkārši jāturpina. Tā kā es
46:3146 minutes, 31 sec      no savas puses tiešām gribu pateikt milzīgu paldies gan Matiesam, gan visai OECD komandai. Tas tomēr visas šīs
46:3846 minutes, 38 sec      tikšanās šeit Rīgā un arī ne tikai Rīgā, bet arī Parīzē, darbs ar komandu, kur es esmu pats personīgi piedalījies virknē no šīm te
46:4646 minutes, 46 sec      sarunām, ir ir tiešām palīdz mums uzlabot vidi. Un šodien arī tās galvenās
46:5346 minutes, 53 sec      rekomendācijas, kas ir, es tiešām aicināšu arī no savas puses arī citus valdības kolēģus tiešām ļoti būtiski
47:0147 minutes, 1 secondieklausīties un arī veikt konkrētas politiskās darbības, lai pēc diviem gadiem skatoties nākamo, mēs arī varētu skatīties to, ka veidojot 27. gada
47:1147 minutes, 11 sec      valsts budžetu, mēs esam pietiekošu naudu veltījuši veselības aprūpē. ne tikai runājuši par reformām, bet arī runājuši par finansējuma pieaugumu,
47:2047 minutes, 20 sec      skatoties nodokļiem, skatījušies arī to, kas šeit skaidri parādījās. Tātad alkohols, saldinātie dzērieni, būtiski
47:2847 minutes, 28 sec      jāmaina šie te nodokļu politika, lai mēs mazinātu to situāciju, kur mēs esam pēdējā vietā. Šobrīd pagājušā gada pieņemtie soļi nav bijuši pietiekoši
47:3747 minutes, 37 sec      ambiciozi, lai šo situāciju mainītu, un mēs neredzam šeit rezultātus. Tāpat jāiet tālāk. Un, manuprāt, OECD
47:4447 minutes, 44 sec      rekomendācijas viennozīmīgi, es teiktu, ir kļūdaini pieņemt apgalvojumu, ka tas netiek ņemts vērā. Tas tiek ņemts vērā,
47:5247 minutes, 52 sec      un šīs rekomendācijas pilnībā parāda to rekomendāciju pareizumu, jo šīs politikas realizācijas arī OECD
48:0048 minutesekspertīze parāda arī to, cik šīs principā tā
48:0748 minutes, 7 sec      prognoze viņa dabā arī piepildās. Tātad, nu, šī šī tiešām reālā dzīvē balstītas prognozes, kas dabā arī piepildās, tajā
48:1548 minutes, 15 sec      brīdī, kad mēs viņas īstenojam, rezultāti tieši tādi, kā OSID eksperti to ir prognozējuši. Paldies.
48:2148 minutes, 21 sec      Paldies. Varbūt ir vēl kāds pēdējais jautājums zālē?
48:3248 minutes, 32 sec      [aplausi] Paldies.
48:3548 minutes, 35 sec      Dāmas un kungi, mēs dosimies nelielā kafijas pauzē līdz plulkstens 11:00.
48:3948 minutes, 39 sec      Atgādā tikai, ka izdales materiālos QR kods jūs aizvedīs pie digitālās versijas pārskatam. Savukārt mediju pārstāvjus aicinām izmantot iespēju klātienē
48:4748 minutes, 47 sec      nointervēt arī klātesošos ekspertus un pārstāvjus. Savukārt padziļinātākām intervijām vai papildus komentāriem aicinām sazināties ar Ekonomikas
48:5548 minutes, 55 sec      ministrijas sabiedrisko attiecību nodaļu. Dāmas un kungi, dodamies nelielā kafijas pauzē līdz plulkstens 11:00.
49:0149 minutes, 1 secondGoing on a short coffee break until 11 o. See you then.
49:1649 minutes, 16 sec      [mūzika]
49:2249 minutes, 22 sec      [mūzika]
49:2949 minutes, 29 sec      [mūzika]
49:3949 minutes, 39 sec      เฮ
49:4449 minutes, 44 sec      [mūzika]
49:5249 minutes, 52 sec      [mūzika]
49:5849 minutes, 58 sec      [mūzika]
50:1650 minutes, 16 sec      [mūzika]
50:2850 minutes, 28 sec      [mūzika]
50:3450 minutes, 34 sec      [mūzika]
50:5150 minutes, 51 sec      [mūzika]
50:5650 minutes, 56 sec      [mūzika]
51:0651 minutes, 6 sec      [mūzika]
51:1651 minutes, 16 sec      [mūzika]
51:3651 minutes, 36 sec      [mūzika]
51:4551 minutes, 45 sec      [mūzika]
52:0052 minutes[mūzika]
52:0652 minutes, 6 sec      [mūzika]
52:1752 minutes, 17 sec      [mūzika]
52:4652 minutes, 46 sec      [mūzika]
53:0753 minutes, 7 sec      เ
53:0853 minutes, 8 sec      [mūzika]
53:1553 minutes, 15 sec      [mūzika]
53:3453 minutes, 34 sec      [mūzika]
53:5553 minutes, 55 sec      [mūzika]
54:0754 minutes, 7 sec      เ
54:1154 minutes, 11 sec      [mūzika]
54:2654 minutes, 26 sec      [mūzika]
54:4054 minutes, 40 sec      [mūzika]
55:2855 minutes, 28 sec      H เฮ
55:3955 minutes, 39 sec      [mūzika]
55:4555 minutes, 45 sec      [mūzika]
55:5555 minutes, 55 sec      [mūzika]
56:1356 minutes, 13 sec      [mūzika]
57:0357 minutes, 3 sec      [mūzika]
57:1657 minutes, 16 sec      [mūzika]
57:5257 minutes, 52 sec      H
58:0758 minutes, 7 sec      [mūzika]
58:1358 minutes, 13 sec      [mūzika]
58:1958 minutes, 19 sec      [mūzika]
58:2658 minutes, 26 sec      [mūzika]
58:3258 minutes, 32 sec      [mūzika]
58:4558 minutes, 45 sec      [mūzika]
58:5258 minutes, 52 sec      [mūzika]
58:5958 minutes, 59 sec      [mūzika]
59:0559 minutes, 5 sec      เ
59:2359 minutes, 23 sec      [mūzika]
59:3359 minutes, 33 sec      [mūzika]
59:3559 minutes, 35 sec      เ
59:4659 minutes, 46 sec      [mūzika]
1:00:051 hour, 5 sec      [mūzika]
1:00:341 hour, 34 sec      Oh
1:00:371 hour, 37 sec      [mūzika]
1:00:441 hour, 44 sec      [mūzika]
1:00:511 hour, 51 sec      [mūzika]
1:01:051 hour, 1 minute, 5 sec      [mūzika]
1:01:131 hour, 1 minute, 13 sec      [mūzika]
1:01:351 hour, 1 minute, 35 sec      [mūzika]
1:01:421 hour, 1 minute, 42 sec      [mūzika]
1:01:551 hour, 1 minute, 55 sec      [mūzika]
1:02:141 hour, 2 minutes, 14 sec      [mūzika]
1:02:271 hour, 2 minutes, 27 sec      [mūzika]
1:02:341 hour, 2 minutes, 34 sec      [mūzika]
1:02:521 hour, 2 minutes, 52 sec      [mūzika]
1:03:031 hour, 3 minutes, 3 sec      [mūzika]
1:03:131 hour, 3 minutes, 13 sec      [mūzika]
1:03:201 hour, 3 minutes, 20 sec      [mūzika]
1:03:261 hour, 3 minutes, 26 sec      [mūzika]
1:03:321 hour, 3 minutes, 32 sec      [mūzika]
1:03:331 hour, 3 minutes, 33 sec      เ เฮ
1:04:141 hour, 4 minutes, 14 sec      [mūzika]
1:04:291 hour, 4 minutes, 29 sec      [mūzika]
1:04:331 hour, 4 minutes, 33 sec      เฮ
1:04:361 hour, 4 minutes, 36 sec      [mūzika]
1:04:561 hour, 4 minutes, 56 sec      [mūzika]
1:05:121 hour, 5 minutes, 12 sec      [mūzika]
1:05:141 hour, 5 minutes, 14 sec      e
1:05:221 hour, 5 minutes, 22 sec      [mūzika]
1:05:321 hour, 5 minutes, 32 sec      เฮ
1:06:121 hour, 6 minutes, 12 sec      [mūzika]
1:07:001 hour, 7 minutesAh. Ah.
1:07:031 hour, 7 minutes, 3 sec      [mūzika]
1:07:101 hour, 7 minutes, 10 sec      [mūzika]
1:07:111 hour, 7 minutes, 11 sec      เฮ
1:08:101 hour, 8 minutes, 10 sec      [mūzika]
1:08:241 hour, 8 minutes, 24 sec      [mūzika]
1:08:381 hour, 8 minutes, 38 sec      [mūzika]
1:08:461 hour, 8 minutes, 46 sec      [mūzika]
1:09:021 hour, 9 minutes, 2 sec      [mūzika]
1:09:121 hour, 9 minutes, 12 sec      [mūzika]
1:09:231 hour, 9 minutes, 23 sec      [mūzika]
1:09:281 hour, 9 minutes, 28 sec      [mūzika]
1:09:351 hour, 9 minutes, 35 sec      [mūzika]
1:09:461 hour, 9 minutes, 46 sec      [mūzika]
1:10:011 hour, 10 minutes, 1 second[mūzika]
1:10:081 hour, 10 minutes, 8 sec      [mūzika]
1:10:241 hour, 10 minutes, 24 sec      [mūzika]
1:10:321 hour, 10 minutes, 32 sec      [mūzika]
1:10:411 hour, 10 minutes, 41 sec      [mūzika]
1:11:151 hour, 11 minutes, 15 sec      [mūzika]
1:11:211 hour, 11 minutes, 21 sec      [mūzika]
1:11:301 hour, 11 minutes, 30 sec      [mūzika]
1:13:161 hour, 13 minutes, 16 sec      daļā, otrajā daļā, kurā gan dzirdēsim sīkāku izklāstu par secinājumiem un rekomendācijām, un pēc tam arī
1:13:241 hour, 13 minutes, 24 sec      nodosimies paneļ diskusijā ar nosaukumu Kā pārvērst OBCD rekomendācijas rīcībā, veselības sistēmas un publiskās
1:13:301 hour, 13 minutes, 30 sec      pārvaldes stiprināšana Latvijā. Ja nu kāds palaida garām, mums pie ieejas ir tulkošanas iekārtas. tulkojumi gan no
1:13:381 hour, 13 minutes, 38 sec      latviešu uz angļu, gan angļu latviešu, atkarībā no valodas, kurā runās runātāj šeit uz skatuves. Ladies and gentlemen,
1:13:451 hour, 13 minutes, 45 sec      if you missed out, we do have translation devices. The content that will follow will be a mixture of Latvian and English. So, please do take them if
1:13:541 hour, 13 minutes, 54 sec      you haven't so that we are all on the same page. Ar mums šodien kopā ir vecākais ekonomists un atbildīgais par
1:14:021 hour, 14 minutes, 2 sec      OECD ekonomikas pārskata sagatavošanu par Latviju Vāciju. To present the OECD findings and recommendations, please welcome to the stage the senior
1:14:111 hour, 14 minutes, 11 sec      economist at the economics department at the head of the country desk for Germany and Latvia at OECD. Ladies gent Mr.
1:14:201 hour, 14 minutes, 20 sec      Robert Grune. Welcome. Welcome Robert.
1:14:381 hour, 14 minutes, 38 sec      interesting us here today will speak about strengthening public administration
1:14:461 hour, 14 minutes, 46 sec      capacity support economic growth about our recommendations concerning
1:14:541 hour, 14 minutes, 54 sec      so here
1:15:041 hour, 15 minutes, 4 sec      proceding public opinion public sector effectiveness
1:15:111 hour, 15 minutes, 11 sec      below average is true for trust in institutions
1:15:191 hour, 15 minutes, 19 sec      at the same time the public sector wage bill is much higher than the OCD average
1:15:321 hour, 15 minutes, 32 sec      count similar countries Lithuania, Slovakia
1:15:381 hour, 15 minutes, 38 sec      OCD countries increased is room especially for reducing
1:15:461 hour, 15 minutes, 46 sec      duplications across agencies according to our analysis examples for example market nonfood
1:15:551 hour, 15 minutes, 55 sec      products latv agencies and other countries
1:16:021 hour, 16 minutes, 2 sec      two this is example acknowledge that the government is already taking steps into this direction
1:16:111 hour, 16 minutes, 11 sec      there have been functional audits at the ministry level to identify duplications and functional overlaps and we think that this should be still expanded to
1:16:201 hour, 16 minutes, 20 sec      look across ministries to also identify duplications and functional
1:16:331 hour, 16 minutes, 33 sec      administrative because agencies that are responsible for similar topics actually often a lot
1:16:401 hour, 16 minutes, 40 sec      of coordination efforts that have to be done and also duplication of administrative procedures
1:16:471 hour, 16 minutes, 47 sec      but having said that a very positive note is that actually administrative burden has declined a
1:17:001 hour, 17 minutesOCD countri progress which is due to digitalization of a lot of administrative procedures
1:17:071 hour, 17 minutes, 7 sec      and also simplification of regulation take this one
1:17:151 hour, 17 minutes, 15 sec      for example construction permits which minister mentioned in the last intervention has been a lot
1:17:281 hour, 17 minutes, 28 sec      room here subindicator of the OCD product market regulation indicator and I have forgotten to mention that actually
1:17:371 hour, 17 minutes, 37 sec      regulation indicator here is worse if it is higher normally in indicator you you have a higher value is a better
1:17:441 hour, 17 minutes, 44 sec      performance but in this indicator a higher value is actually a worse performance so you see that Latvia here in the subindicator administrative
1:18:001 hour, 18 minutesimproved average to the fact that still one stop shop
1:18:071 hour, 18 minutes, 7 sec      where you can conduct do all the different procedures that are necessary for funding a firm.
1:18:151 hour, 18 minutes, 15 sec      You still have to cont actually four different agencies and conduct seven different procedures in Latvia whereas in others countries you just have to
1:18:221 hour, 18 minutes, 22 sec      contact one contact point and the reason is that although improvements have been there data sharing is still limited
1:18:311 hour, 18 minutes, 31 sec      across agencies and registries and there still a room to go to improve the digitalization of registries and the linkage of registries. That's a very
1:18:401 hour, 18 minutes, 40 sec      important point and another point I wanted to make is that data use is not only important to share
1:18:481 hour, 18 minutes, 48 sec      data for improving administrative procedures with firms but it's
1:18:561 hour, 18 minutes, 56 sec      households but it's also actually important to improve the enforcement of
1:19:021 hour, 19 minutes, 2 sec      of regulations in Latvia we see in our analysis that a lot of enforcement agencies
1:19:121 hour, 19 minutes, 12 sec      regulations of do a lot of inspections noted other
1:19:191 hour, 19 minutes, 19 sec      countries use data much better identify risk cases only focus inspection on risk
1:19:271 hour, 19 minutes, 27 sec      cases reduces administrative burden for all the other companies that are actually complying normally and that are not in the risk groups and it also
1:19:361 hour, 19 minutes, 36 sec      increases spending could make dependent on risk based
1:19:481 hour, 19 minutes, 48 sec      criteria use of data in public administration
1:19:561 hour, 19 minutes, 56 sec      also relates the quality of regulation during the regulatory process like regulations
1:20:031 hour, 20 minutes, 3 sec      designed prepared indicatorul assess
1:20:151 hour, 20 minutes, 15 sec      average higher positive development in general system
1:20:271 hour, 20 minutes, 27 sec      in some subindicators which here and the blue area systematic adoption methodology
1:20:411 hour, 20 minutes, 41 sec      options of regulations in the process regulation regulation
1:20:491 hour, 20 minutes, 49 sec      bringing more benefits and other alternatives may be better is a requirement to do that but of very
1:20:561 hour, 20 minutes, 56 sec      late in the process and it's actually not conducted as a real cost benefit analysis so improving
1:21:121 hour, 21 minutes, 12 sec      admin fiscal regulory assess
1:21:211 hour, 21 minutes, 21 sec      dating data analysis exp regulory impctv
1:21:311 hour, 21 minutes, 31 sec      average BL
1:21:461 hour, 21 minutes, 46 sec      metological frameworked increase indicator
1:21:521 hour, 21 minutes, 52 sec      developments in the last one to years room to the capacities and analytical
1:22:011 hour, 22 minutes, 1 secondcapacities in the administration and therefore it's also important actually to introduce proportionality
1:22:101 hour, 22 minutes, 10 sec      requirement here at the regular
1:22:201 hour, 22 minutes, 20 sec      limited capacities better regulation law that high impact administrative burden
1:22:271 hour, 22 minutes, 27 sec      ters fiscal targeting the resources public administration better is a common theme
1:22:341 hour, 22 minutes, 34 sec      and also applies to regulatory SL public administration
1:22:421 hour, 22 minutes, 42 sec      procurement we see here as the secretary general already mentioned in intervention before that there room to improve spending efficiency in public
1:22:511 hour, 22 minutes, 51 sec      procurement as well we spend Latvia spends more in terms of GDP procurement than other OCD countries although the
1:22:591 hour, 22 minutes, 59 sec      size of the government is actually about the OCD average and we think that centralation of purchasing
1:23:111 hour, 23 minutes, 11 sec      procurement affains areas first because of returns to scale
1:23:191 hour, 23 minutes, 19 sec      of specialization of procurement exports and because of larger market power negotiations with private bit so that is
1:23:271 hour, 23 minutes, 27 sec      important and it's also important to improve competition in public procurement a lot of countries have issues with
1:23:411 hour, 23 minutes, 41 sec      compr
1:23:541 hour, 23 minutes, 54 sec      for exclusion restrictions room exclusion restrictions
1:24:031 hour, 24 minutes, 3 sec      syners compan companies form
1:24:131 hour, 24 minutes, 13 sec      joint bit having more timeenders bits but we have other recommendations in the
1:24:201 hour, 24 minutes, 20 sec      surve on two now and now the second part is improving on health outcomes a very very important
1:24:291 hour, 24 minutes, 29 sec      topic as
1:24:441 hour, 24 minutes, 44 sec      barviron in Latvia here another indicator compared to the
1:24:521 hour, 24 minutes, 52 sec      indicator that secretary general showed in the beginning life expectancy is very low across countries in Latvia
1:25:031 hour, 25 minutes, 3 sec      birth very lvor expected healthy
1:25:121 hour, 25 minutes, 12 sec      are 54 women 52 for men that is a big problem not only for wellbeing but also for the
1:25:211 hour, 25 minutes, 21 sec      economy because a lot of the experienced workers that have accumulated human capital during their lives they get sick when they 55
1:25:321 hour, 25 minutes, 32 sec      this capital labor market that is not applied as as it could be that is a very
1:25:391 hour, 25 minutes, 39 sec      big problemalculations as well in the report that shows that the growth effect of improving this indicator is very very large actually
1:25:481 hour, 25 minutes, 48 sec      really has an important effect also on economic development one important policy lever to improve
1:25:561 hour, 25 minutes, 56 sec      health outcomes syes
1:26:191 hour, 26 minutes, 19 sec      leads very high of out of pocket pays
1:26:331 hour, 26 minutes, 33 sec      private doctor medcket
1:26:411 hour, 26 minutes, 41 sec      latvcially older people outcome
1:26:581 hour, 26 minutes, 58 sec      access health issue quality
1:27:061 hour, 27 minutes, 6 sec      for the mortality rates because you have a lot of treatable diseases that could have actually been treated well if people get early diagnosis and get early
1:27:131 hour, 27 minutes, 13 sec      treatment and but this is a problem so how to improve resources
1:27:221 hour, 27 minutes, 22 sec      efficiency increase money important
1:27:331 hour, 27 minutes, 33 sec      system in the right direction ealth system working well one problem is that a lot
1:27:401 hour, 27 minutes, 40 sec      of the patient records for private patients are not in the system yet you don't cover all the the population so
1:27:471 hour, 27 minutes, 47 sec      you can
1:27:591 hour, 27 minutes, 59 sec      doctor doctor private doctor treat prescribed
1:28:081 hour, 28 minutes, 8 sec      history of patient system could learn maybe Poland which has actually improved the coverage
1:28:171 hour, 28 minutes, 17 sec      and to one ealth system all the private patients are covered the public ealth system in Poland
1:28:241 hour, 28 minutes, 24 sec      another important area is strengthening out patient car Latvia is already standing out across the OCD if you look
1:28:311 hour, 28 minutes, 31 sec      at the blue bar you spending already a higher share of health care expenditures on outptient care but there still room
1:28:391 hour, 28 minutes, 39 sec      to improve especially out patient care in regions a lot of out patient general pracers are actually area
1:28:471 hour, 28 minutes, 47 sec      Raage lower to get early diagnoses for people and to
1:28:571 hour, 28 minutes, 57 sec      be able to to refer the people with serious issues to specialists and hospitals earlier to improve treat
1:29:051 hour, 29 minutes, 5 sec      quality but it's also important to improve efficiency because at the moment people that can afford it they actually go to the hospital directly and so you
1:29:131 hour, 29 minutes, 13 sec      over the hospitals especially the two RA hospitals people actually move also from regions to the Riga hospitals directly
1:29:211 hour, 29 minutes, 21 sec      there some numbers on that and they are overcedded and then also have the problem that they can't actually treat the really serious cases in time okay I
1:29:301 hour, 29 minutes, 30 sec      see two minutes more and second last point on the healthc
1:29:371 hour, 29 minutes, 37 sec      system efficiency is actually prices for medic medic just move back to this slide because I forgot to mention If you look
1:29:451 hour, 29 minutes, 45 sec      at the the red bar here, Latvia stands out with some other countries, but Latvia has above average share of healthc
1:29:541 hour, 29 minutes, 54 sec      expenditures that is dedicated to medical goods, purchases of medical goods. And this is related to relatively high prices. There has been a lot of
1:30:031 hour, 30 minutes, 3 sec      reforms in the last years and they have been successful in increasing the share of generica in medical supply in Latvia.
1:30:101 hour, 30 minutes, 10 sec      So this is a very good development um but there still room for improvement. If we look at the product market regulation indicator that I just showed you before
1:30:181 hour, 30 minutes, 18 sec      it also subindicators for pharmacy markets and there we say that we see that pharmacy restrictions or restrictions on the location and number
1:30:251 hour, 30 minutes, 25 sec      of pharmacies in the certain area quite high in Latvia. So the competition in the pharmacy market is actually quite quite weak. So reducing restrictions
1:30:341 hour, 30 minutes, 34 sec      could also help to improve access and reduce prices. But obviously another important area for improvement is joining procurement with neighboring
1:30:431 hour, 30 minutes, 43 sec      countries especially for very expensive specific medicines that are new. It's
1:30:491 hour, 30 minutes, 49 sec      very difficult for the Latvian market to purchase. Some medic can even not be purchased in Latvia. joining forces with
1:30:571 hour, 30 minutes, 57 sec      neighboring countries level is really important as well and the last point is on preventable diseases and this is also
1:31:051 hour, 31 minutes, 5 sec      what the secretary general mentioned before so the mortality to preventable diseases that are caused by too high
1:31:121 hour, 31 minutes, 12 sec      alcohol consumption tobacco or unhealthy diets is much larger than in the OCD average and even
1:31:221 hour, 31 minutes, 22 sec      the largest for men is really
1:31:321 hour, 31 minutes, 32 sec      main focus onation especially because fiscal policy fiscal deficit is high so you should try to optim the tax
1:31:411 hour, 31 minutes, 41 sec      system better and to this behavior that leads to this high mortality rates alcohol consumption tobacco consumption
1:31:481 hour, 31 minutes, 48 sec      should be tax more but alsoing sugar sugary beveragesown
1:32:041 hour, 32 minutes, 4 sec      UK sugar content.
1:32:151 hour, 32 minutes, 15 sec      Thank you. Thank you, Robert. We're about to begin our panel discussion. So, please do take one of the seats and here is a translation device for you to be on
1:32:231 hour, 32 minutes, 23 sec      the same page. Dāmas un kungi, virzamies tālāk uz paneļ diskusiju. Nedaudz pārkārtosim arī skatuvi, noņemsim
1:32:311 hour, 32 minutes, 31 sec      podestu, kolēģi, lai varam arī sākt paneļdkusiju. Un aicināšu pievienoties man uz skatuves arī pārējos diskusijas
1:32:401 hour, 32 minutes, 40 sec      dalībniekus. Pirmkārt, finanšu ministrijas fiskālās politikas departamenta direktoru Nilu Saksu. Sagaidām ar aplausiem.
1:32:501 hour, 32 minutes, 50 sec      Ekonomikas ministrijas parlamentārais sekretārs Jurģis Miezainis, Nacionālā veselības dienesta direktors
1:32:571 hour, 32 minutes, 57 sec      Āris Kasparāns un Valsts kancelejas valsts pārvaldes politikas departamenta vadītāja Ilona Ana Eklone. Sagaidām.
1:33:081 hour, 33 minutes, 8 sec      Lūdzu, kolēģi, mikrofoni ir ieslēgti.
1:33:101 hour, 33 minutes, 10 sec      ūdens arī jūsu rīcībā, ja nepieciešams, un aptuveni turpmākās stundas laikā centīsimies atbildēt uz galveno diskusijas jautājumu. Kā pārvērst
1:33:191 hour, 33 minutes, 19 sec      rekomendācijas rīcībā? Signāli ir skaidri, bet tā vien šķiet, ka šie signāli tiek raidīti ik pēc diviem gadiem. Un arī, kā redzējām,
1:33:271 hour, 33 minutes, 27 sec      arī pirmās daļas jautājumu sesijā arī bija divi jautājumi par to, kā tad mums veicās līdz šim. Un skatīsimies arī uz
1:33:351 hour, 33 minutes, 35 sec      priekšu, uz priekšu arī nākotnē šajos jautājumos. Robert, ja varam nedaudz
1:33:421 hour, 33 minutes, 42 sec      paturpināt ar jums, tad prezentācijā dzirdējām arī un redzējām arī
1:33:491 hour, 33 minutes, 49 sec      salīdzinājumus ar citām valstīm, bet, ja būtu jāsalīdzina varbūt tā ievadā Latvija ar citu valstu veikumu kaut vai
1:33:561 hour, 33 minutes, 56 sec      tepat ar mūsu kaimiņvalstīm Baltijā, kur mēs esam rekomendāciju ieviešanā, vai kaut kur izceļamies pozitīvi, vai
1:34:051 hour, 34 minutes, 5 sec      kaut kur, iespējams, nepieciešams saņemties?
1:34:151 hour, 34 minutes, 15 sec      Hello. Okay, perfect.
1:34:201 hour, 34 minutes, 20 sec      As the security general already mentioned, I think Latvia has actually made a lot of progress in in several
1:34:271 hour, 34 minutes, 27 sec      areas when you look at financial market development, banking sector competition, I think there have been important
1:34:341 hour, 34 minutes, 34 sec      regulatory reforms that have increased mortgage competition in in banking sector and mortgage landing also
1:34:411 hour, 34 minutes, 41 sec      development of pension of capital markets. We just saw the first listing of a public company yesterday. This is
1:34:481 hour, 34 minutes, 48 sec      an important step forward. and also pension funds capital based capital based
1:34:561 hour, 34 minutes, 56 sec      pension funds still strong in Latvia compared to your neighbors actually that could be an asset compared to your neighbors that
1:35:051 hour, 35 minutes, 5 sec      you still have these mandatory pension funds where you cannot easily withdraw your funds in Estonia and Lithuania they
1:35:121 hour, 35 minutes, 12 sec      actually abolished that they let people withdraw far before pensions and this weakens
1:35:201 hour, 35 minutes, 20 sec      and cap are
1:35:261 hour, 35 minutes, 26 sec      things going direction and areas of instal efficiency efficiency of
1:35:341 hour, 35 minutes, 34 sec      insolvency procedes improved the fightering corruption Latvia is even the best at the moment there was just an
1:35:431 hour, 35 minutes, 43 sec      evaluation some months ag of areas where you paldies par to došan iespēju pārējiem kolēģiem pa vienam ir iziet cauri un
1:35:511 hour, 35 minutes, 51 sec      reflektēt. Un, ja nu kas, arī būs iespēja zālei uzdot savus jautājumus kādā brīdī. Tāpēc lūdzu piefiksēt tos,
1:35:571 hour, 35 minutes, 57 sec      lai esam uz vienas lapas. Jurģi, vēlos vērsties pie jums, protams, pārejot uz tām Latvijas ekonomikas politikas prioritātēm. Tas ieteikumu klāsts ir
1:36:071 hour, 36 minutes, 7 sec      ļoti plašs. Varbūt pašā sākumā kāds ir tas tālākais process, kā šīs rekomendācijas tiek izvērtētas,
1:36:151 hour, 36 minutes, 15 sec      iestrādātas, kāda tā lēmuma pieņemšanas loģika tālāk un kā, kādas būtu refleksijas par līdz šim dzirdēto?
